Gene_Symbol,Description,sample1,sample10,sample11,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample12,sample13,Mean_Coverage,Std_Coverage,Min_Coverage,Max_Coverage,Detected_Samples,Detection_Rate
RPS23,40S ribosomal protein S23 OS=Homo sapiens OX=9606 GN=RPS23 PE=1 SV=3,35.0,35.0,41.0,30.0,30.0,35.0,37.0,56.0,35.0,30.0,37.0,15.0,,34.666666666666664,9.335497584570152,15.0,56.0,12,92.3076923076923
RPS3,40S ribosomal protein S3 OS=Homo sapiens OX=9606 GN=RPS3 PE=1 SV=2,79.0,85.0,88.0,79.0,56.0,73.0,87.0,90.0,88.0,72.0,87.0,18.0,,75.16666666666667,20.46208615212461,18.0,90.0,12,92.3076923076923
RPL17,60S ribosomal protein L17 OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=3,16.0,53.0,18.0,29.0,28.0,47.0,49.0,49.0,18.0,48.0,58.0,,,37.54545454545455,15.845274603891447,16.0,58.0,11,84.61538461538461
RPL30,60S ribosomal protein L30 OS=Homo sapiens OX=9606 GN=RPL30 PE=1 SV=2,41.0,75.0,49.0,67.0,51.0,77.0,82.0,75.0,44.0,67.0,77.0,,,64.0909090909091,14.983020693134918,41.0,82.0,11,84.61538461538461
RPL7A,60S ribosomal protein L7a OS=Homo sapiens OX=9606 GN=RPL7A PE=1 SV=2,35.0,52.0,40.0,48.0,49.0,55.0,58.0,57.0,34.0,49.0,59.0,12.0,,45.666666666666664,13.580288745981893,12.0,59.0,12,92.3076923076923
EIF3H,Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens OX=9606 GN=EIF3H PE=1 SV=1,22.0,6.0,30.0,12.0,,,15.0,14.0,41.0,25.0,13.0,,,19.77777777777778,10.837178804672574,6.0,41.0,9,69.23076923076923
FAU,FAU ubiquitin-like and ribosomal protein S30 OS=Homo sapiens OX=9606 GN=FAU PE=1 SV=2,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,9.0,0.0,9.0,9.0,11,84.61538461538461
RPS17,40S ribosomal protein S17 OS=Homo sapiens OX=9606 GN=RPS17 PE=1 SV=2,47.0,66.0,50.0,30.0,30.0,47.0,47.0,48.0,66.0,47.0,47.0,15.0,,45.0,14.415900312439103,15.0,66.0,12,92.3076923076923
RPS15A,40S ribosomal protein S15a OS=Homo sapiens OX=9606 GN=RPS15A PE=1 SV=2,63.0,63.0,63.0,63.0,45.0,52.0,52.0,65.0,82.0,63.0,68.0,18.0,,58.083333333333336,15.640613411205711,18.0,82.0,12,92.3076923076923
EIF3F,Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens OX=9606 GN=EIF3F PE=1 SV=1,25.0,10.0,28.0,13.0,,8.0,21.0,14.0,32.0,13.0,14.0,,,17.8,8.162243700247023,8.0,32.0,10,76.92307692307692
RPS28,40S ribosomal protein S28 OS=Homo sapiens OX=9606 GN=RPS28 PE=1 SV=1,61.0,61.0,72.0,57.0,46.0,68.0,68.0,72.0,61.0,61.0,72.0,46.0,,62.083333333333336,9.110017795944431,46.0,72.0,12,92.3076923076923
RPL27A,60S ribosomal protein L27a OS=Homo sapiens OX=9606 GN=RPL27A PE=1 SV=2,18.0,33.0,32.0,17.0,29.0,41.0,36.0,48.0,17.0,32.0,48.0,9.0,,30.0,12.598701231764833,9.0,48.0,12,92.3076923076923
RPS16,40S ribosomal protein S16 OS=Homo sapiens OX=9606 GN=RPS16 PE=1 SV=2,65.0,79.0,79.0,68.0,68.0,77.0,78.0,71.0,70.0,70.0,71.0,35.0,,69.25,11.786934214706477,35.0,79.0,12,92.3076923076923
RPLP2,60S acidic ribosomal protein P2 OS=Homo sapiens OX=9606 GN=RPLP2 PE=1 SV=1,56.0,96.0,74.0,73.0,73.0,81.0,81.0,96.0,27.0,73.0,81.0,,,73.72727272727273,19.1054490085468,27.0,96.0,11,84.61538461538461
RPL15,60S ribosomal protein L15 OS=Homo sapiens OX=9606 GN=RPL15 PE=1 SV=2,10.0,53.0,15.0,36.0,30.0,50.0,49.0,56.0,15.0,32.0,61.0,,,37.0,18.10524785801067,10.0,61.0,11,84.61538461538461
RPL7,60S ribosomal protein L7 OS=Homo sapiens OX=9606 GN=RPL7 PE=1 SV=1,10.0,45.0,,23.0,29.0,52.0,47.0,54.0,15.0,31.0,65.0,,,37.1,18.168654325513486,10.0,65.0,10,76.92307692307692
RPL36A,60S ribosomal protein L36a OS=Homo sapiens OX=9606 GN=RPL36A PE=1 SV=2,18.0,47.0,18.0,27.0,27.0,45.0,56.0,58.0,,27.0,57.0,,,38.0,16.254913786982144,18.0,58.0,10,76.92307692307692
RPL23A,60S ribosomal protein L23a OS=Homo sapiens OX=9606 GN=RPL23A PE=1 SV=1,14.0,46.0,14.0,36.0,41.0,46.0,46.0,56.0,21.0,42.0,58.0,,,38.18181818181818,15.445505377411138,14.0,58.0,11,84.61538461538461
RPS12,40S ribosomal protein S12 OS=Homo sapiens OX=9606 GN=RPS12 PE=1 SV=3,67.0,85.0,89.0,81.0,67.0,67.0,84.0,89.0,89.0,84.0,89.0,,,81.0,9.370165420097983,67.0,89.0,11,84.61538461538461
EIF3A,Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens OX=9606 GN=EIF3A PE=1 SV=1,16.0,8.0,31.0,5.0,,6.0,22.0,20.0,25.0,16.0,10.0,,,15.9,8.685236515681845,5.0,31.0,10,76.92307692307692
RPS7,40S ribosomal protein S7 OS=Homo sapiens OX=9606 GN=RPS7 PE=1 SV=1,56.0,55.0,61.0,44.0,19.0,36.0,45.0,61.0,75.0,59.0,64.0,,,52.27272727272727,15.38239844166643,19.0,75.0,11,84.61538461538461
